overall_score,technical_skills_score,experience_score,projects_score,education_score,soft_skills_score,certifications_score,cv_completeness_score,missing_required_skills_count,missing_optional_skills_count,ahp_explainable_score,final_score
42.17,56.13,51.15,61.9,68.15,58.49,37.61,40.81,1,3,55.43,42.35
39.79,39.79,21.48,29.09,2.34,28.72,23.72,57.76,3,3,31.87,15.64
85.21,80.33,81.59,81.14,35.35,86.23,6.04,86.27,0,2,75.21,73.23
66.08,45.7,35.83,45.21,57.19,41.36,67.34,89.74,0,3,46.13,46.6
77.53,63.12,73.65,61.29,32.64,62.95,33.9,97.16,2,6,62.12,46.82
47.67,66.12,58.75,66.79,41.79,46.72,8.22,95.96,1,5,57.14,48.88
87.66,91.12,91.29,63.55,38.39,42.64,17.21,92.48,0,3,75.16,74.38
89.73,67.49,99.16,85.8,45.0,1.34,28.43,78.82,1,1,68.14,67.64
53.44,76.98,36.41,61.62,71.38,6.04,12.03,78.45,4,3,52.59,38.19
61.79,65.87,46.32,67.72,26.25,17.62,56.01,76.91,1,2,53.94,54.52
68.98,81.28,98.47,67.56,87.75,84.33,24.07,95.42,0,2,82.95,79.64
41.79,49.91,26.32,44.38,60.37,15.87,2.1,65.24,0,2,44.54,39.81
65.31,40.58,73.55,32.81,79.59,19.48,69.6,86.17,3,5,46.07,36.86
26.92,22.24,32.41,29.32,48.16,35.38,35.69,94.87,4,5,33.91,7.5
76.02,61.98,57.38,64.9,40.52,73.78,0.21,86.69,2,4,66.06,47.59
33.13,30.93,3.24,11.09,38.57,4.41,37.07,87.0,3,6,25.82,0.59
72.73,38.02,35.78,26.25,55.68,73.04,8.92,69.36,1,3,37.85,36.75
46.84,25.98,45.78,10.06,4.78,49.2,2.6,89.62,1,4,33.67,19.46
20.2,27.09,36.27,53.83,52.13,8.86,23.77,74.44,2,4,37.0,20.82
50.47,60.39,42.3,61.18,36.71,80.67,1.83,83.27,1,2,61.39,39.32
49.25,34.25,66.81,47.83,15.08,60.82,31.14,49.18,1,3,49.67,36.5
92.91,92.93,91.13,55.87,50.02,44.49,50.62,97.98,0,1,74.89,88.34
91.76,70.27,74.0,89.89,64.41,1.33,0.19,87.77,2,2,58.31,71.26
57.52,43.03,40.94,36.84,26.79,27.73,63.14,94.1,0,6,36.78,43.2
77.48,75.56,66.43,69.16,83.29,86.64,9.32,86.45,1,2,70.03,67.05
50.89,32.67,36.32,29.04,23.4,11.17,29.2,47.25,2,6,28.09,16.51
43.22,34.08,30.76,52.8,74.39,18.84,54.34,35.31,2,5,33.57,20.7
52.85,70.63,76.72,47.96,63.16,71.14,16.9,95.26,1,3,62.97,57.15
62.32,71.57,77.83,30.36,41.28,32.18,33.52,82.29,0,3,56.44,56.21
60.19,40.62,52.09,45.58,36.26,68.07,22.5,85.61,2,4,41.21,39.45
59.23,47.84,67.82,37.26,30.09,37.24,54.14,94.77,3,5,43.46,29.66
85.62,91.97,76.1,84.43,61.48,47.8,7.65,91.66,1,4,78.2,69.67
58.19,46.33,37.87,73.7,18.92,58.06,17.03,27.61,2,4,51.44,32.64
42.33,36.21,1.35,38.71,69.31,18.2,13.71,85.68,2,5,32.46,21.67
64.0,48.05,72.68,33.14,46.85,76.38,13.34,93.75,3,5,51.35,36.35
45.69,49.06,36.96,42.3,35.4,68.46,32.19,89.18,1,6,43.85,34.92
99.3,80.21,71.36,69.92,56.86,59.19,78.46,99.66,1,1,66.73,78.21
71.4,99.06,95.24,68.66,72.13,44.37,27.47,82.17,0,3,75.99,77.68
98.04,87.35,96.49,59.92,69.26,80.7,28.13,79.88,0,2,82.48,78.83
88.75,66.86,76.91,86.04,44.67,20.99,17.06,75.02,2,1,62.87,57.97
45.11,43.6,50.14,64.89,60.2,10.1,7.47,40.42,3,4,40.46,28.14
89.96,97.08,80.92,58.74,66.86,38.81,68.93,83.51,1,0,76.24,77.21
15.98,5.57,7.28,4.27,61.22,70.81,2.33,83.0,5,6,25.16,0.0
29.81,12.23,39.99,47.0,28.0,50.14,20.01,68.92,3,6,34.89,11.6
57.33,40.76,47.77,29.32,50.67,15.06,24.25,92.78,3,5,38.06,25.4
79.03,85.66,82.73,61.69,59.57,51.59,22.72,90.31,2,0,69.38,67.3
58.53,48.61,74.39,42.16,39.2,81.84,52.22,88.86,1,4,58.0,49.33
92.93,75.01,67.51,56.64,59.37,58.63,73.86,77.77,0,3,62.12,60.86
60.61,49.91,84.31,14.24,69.91,40.13,30.23,59.11,2,2,50.92,40.87
52.07,65.5,62.7,44.87,25.26,40.19,0.42,67.62,0,0,49.59,56.72
77.92,74.4,60.17,73.35,77.08,28.7,52.47,69.79,1,3,65.27,61.79
49.84,35.89,32.19,41.15,63.2,60.64,26.21,32.72,2,3,36.29,22.39
64.63,53.76,59.9,50.88,65.86,45.69,65.84,79.98,2,5,56.48,44.09
68.58,46.81,63.59,60.2,49.68,36.2,12.52,79.49,2,3,55.37,40.39
41.09,16.61,45.46,4.05,0.75,9.22,7.8,88.95,3,6,24.82,3.95
49.55,63.2,40.87,63.77,37.1,65.82,56.39,69.39,1,4,60.23,44.18
76.92,82.69,96.02,67.21,77.64,62.91,9.8,82.33,0,3,76.72,76.01
90.27,85.46,83.18,79.95,47.2,64.64,32.94,84.09,1,4,79.71,71.86
45.51,5.45,38.23,21.66,69.98,16.88,14.03,67.11,3,7,22.16,0.79
74.33,69.07,56.45,39.42,35.79,79.05,49.71,85.03,1,5,61.88,46.44
82.9,78.56,97.94,69.58,79.82,71.14,56.77,98.01,0,2,81.74,79.12
56.26,44.29,55.85,60.83,42.2,68.19,44.09,92.56,2,4,55.19,31.79
36.53,9.39,47.21,2.93,41.67,73.79,26.58,85.03,3,5,30.36,11.88
91.74,73.33,99.32,65.25,48.02,81.57,20.65,84.02,2,3,73.83,62.26
75.54,65.32,77.97,69.32,36.71,59.02,53.27,76.77,1,6,57.52,54.44
51.87,69.91,74.3,70.53,38.44,27.97,11.24,75.75,0,3,55.97,56.61
68.22,94.92,89.63,70.99,67.75,21.24,14.31,86.78,1,2,68.77,68.5
17.0,2.19,24.18,42.57,45.55,52.64,20.14,56.75,4,4,23.13,0.0
61.72,55.93,60.84,46.87,80.17,75.59,61.54,87.03,2,6,67.05,44.41
45.84,35.32,71.62,27.32,56.49,55.35,13.87,96.35,1,4,48.32,39.81
78.12,78.93,73.6,99.95,47.63,78.91,13.53,99.51,2,3,72.52,69.45
21.54,27.46,30.23,33.15,3.88,12.65,8.06,60.1,2,4,24.66,16.57
54.12,56.64,47.66,42.18,52.17,45.52,68.9,72.82,3,3,43.59,35.71
86.6,79.58,66.81,96.99,57.75,74.47,35.39,98.43,0,2,75.41,73.09
77.83,58.89,64.64,57.17,74.68,77.56,39.43,75.31,2,1,71.09,50.66
77.22,82.85,94.28,62.73,68.67,71.57,79.56,77.92,1,3,76.82,72.18
65.55,48.19,53.56,52.71,58.15,3.77,30.76,72.48,2,2,46.7,43.11
83.29,95.61,82.5,57.49,37.19,21.6,71.64,90.54,1,0,74.23,72.99
47.63,24.17,49.19,15.22,46.09,6.6,23.7,55.87,4,5,32.68,3.33
54.96,77.62,75.4,31.28,49.91,58.4,51.34,77.82,2,3,58.57,48.86
11.97,8.72,2.67,10.57,0.3,37.82,26.42,77.89,3,6,11.03,0.0
10.95,26.52,49.22,31.49,42.59,51.12,6.12,78.75,3,7,36.74,9.59
32.8,12.87,9.47,9.36,32.14,12.76,0.99,47.6,4,7,10.81,0.0
98.81,96.88,79.17,75.19,55.63,3.6,24.89,78.07,2,0,65.13,70.93
59.6,40.92,35.19,34.65,39.15,72.02,64.08,79.21,2,4,45.8,34.22
82.0,84.77,69.85,68.2,51.83,24.82,39.16,91.33,0,1,72.15,75.08
47.05,46.1,69.57,62.59,77.55,54.19,29.6,79.93,2,4,55.87,41.07
52.32,27.98,41.31,66.54,68.77,39.23,57.38,57.38,1,7,45.09,30.31
68.75,42.64,66.45,72.88,43.16,88.75,26.49,71.99,4,4,55.15,31.82
55.96,54.28,72.09,58.41,70.74,52.51,69.4,73.45,1,6,66.89,41.03
24.09,0.61,34.77,54.93,20.62,13.8,14.09,66.27,4,6,19.49,0.0
97.37,79.24,76.49,58.89,69.88,82.06,3.5,78.63,1,1,67.16,68.92
70.27,66.93,45.61,33.04,46.47,69.8,48.65,88.3,1,3,52.96,48.45
34.46,14.91,3.82,39.79,52.41,49.96,10.19,90.66,3,5,30.47,5.3
62.99,50.0,43.64,63.24,48.35,6.18,8.53,58.31,2,5,40.79,36.52
23.26,7.27,54.84,1.66,41.81,48.77,34.09,57.78,5,8,33.51,0.0
42.9,9.45,13.09,42.85,6.02,14.31,22.78,91.51,2,5,14.81,4.11
58.58,48.42,49.0,59.39,27.45,61.36,14.08,78.45,1,3,57.66,38.88
75.25,93.63,74.37,89.86,53.22,17.93,61.82,86.71,1,0,75.06,81.68
61.15,68.77,35.26,71.62,63.76,85.56,57.22,97.47,2,5,72.98,46.66
69.15,38.95,70.69,35.21,81.64,14.0,9.04,93.42,3,6,38.55,31.69
24.79,26.87,24.51,0.32,40.21,56.06,8.73,91.58,3,5,30.99,6.55
89.93,68.87,68.72,88.3,38.04,76.93,67.67,78.53,1,0,70.21,68.78
44.76,65.97,28.34,23.62,33.82,45.85,59.93,25.96,1,4,36.12,33.46
76.38,33.59,46.79,58.48,23.45,53.06,14.23,36.97,4,4,48.04,25.72
76.16,70.99,82.74,60.07,69.43,83.12,30.81,79.21,1,4,75.97,59.95
60.45,49.07,39.74,74.06,35.56,17.35,10.19,84.96,1,1,42.7,47.21
49.4,36.89,82.05,62.69,25.74,67.31,31.13,37.83,1,4,52.95,43.41
45.03,76.36,58.63,54.92,60.99,49.56,20.3,99.01,0,3,66.67,56.24
79.21,71.16,88.17,94.56,51.65,31.62,56.98,78.73,2,6,64.75,58.26
46.61,64.74,30.15,22.62,65.94,11.84,1.13,43.55,0,4,40.14,42.5
45.73,37.61,38.4,21.15,22.7,53.77,35.84,92.53,2,5,30.8,27.28
71.11,60.14,35.41,53.49,63.02,82.37,28.96,85.11,3,4,61.12,38.14
60.76,58.39,23.74,48.87,32.19,56.72,2.83,51.3,2,2,44.63,40.63
72.58,61.04,37.96,47.15,43.71,57.75,43.02,65.36,1,4,53.09,44.66
58.9,42.73,53.09,28.56,31.79,60.18,18.38,89.9,2,2,45.19,37.5
25.77,31.14,12.52,31.92,5.69,32.6,9.14,89.17,4,6,23.41,1.77
97.18,92.98,69.66,88.6,58.02,1.46,44.91,78.25,0,2,69.33,80.02
44.96,30.76,47.79,19.89,38.44,38.69,45.19,53.25,1,4,42.3,32.21
50.72,60.11,53.08,25.76,29.19,17.57,53.85,96.22,2,4,43.56,31.28
22.23,6.19,49.54,46.97,3.76,61.78,4.86,48.16,3,6,33.4,1.59
12.42,30.8,42.47,30.28,68.81,51.45,5.21,54.91,3,7,35.01,4.52
12.7,3.43,48.88,44.02,61.71,48.79,16.13,90.32,4,6,34.46,0.0
42.33,82.14,59.83,53.42,68.55,30.46,43.17,48.69,1,2,63.42,54.4
98.53,98.9,98.86,56.66,56.03,72.17,64.0,77.15,2,1,83.77,71.96
70.56,96.88,91.06,96.93,60.85,39.26,30.46,90.41,1,0,84.86,78.53
84.86,72.82,66.31,86.85,65.19,68.77,7.45,99.89,2,0,64.77,63.71
46.93,40.73,44.65,25.47,57.4,51.8,6.62,50.71,2,4,41.42,27.41
26.64,20.7,33.29,41.82,39.5,38.16,36.35,80.26,2,6,34.58,12.34
89.73,90.08,83.33,90.72,51.51,19.18,29.81,85.25,0,0,65.71,87.33
50.23,64.53,45.67,51.27,72.51,60.38,20.89,76.65,1,2,55.12,42.89
60.62,43.53,51.21,41.64,41.24,51.07,32.36,96.12,1,5,34.89,40.57
75.59,26.42,36.33,12.82,61.56,46.51,30.82,45.51,3,8,33.8,16.05
38.27,16.61,45.44,39.35,8.98,14.64,31.86,59.47,1,6,30.2,12.44
50.82,65.64,47.08,40.58,38.41,70.67,67.19,82.24,1,3,58.43,47.3
98.93,85.6,83.12,93.13,36.52,73.83,9.91,96.02,1,1,84.44,78.08
93.53,81.27,95.85,83.59,69.29,27.76,11.36,99.03,3,2,74.0,66.39
71.33,68.42,72.36,39.65,52.95,0.84,52.28,75.58,0,2,58.95,63.33
11.93,49.62,13.63,17.02,17.45,20.06,27.63,56.99,2,3,24.23,15.34
49.88,70.09,36.6,38.21,28.42,60.07,25.79,87.82,2,4,54.93,36.31
66.16,58.48,38.24,58.4,43.53,1.3,10.89,82.41,2,4,54.83,37.43
65.49,69.37,51.58,27.34,57.13,89.59,67.83,72.74,1,1,58.19,53.54
62.79,70.58,49.47,58.35,46.97,3.85,26.46,98.25,2,3,47.02,43.69
61.88,47.58,57.74,63.04,64.59,65.51,27.33,29.4,1,4,51.72,38.76
45.87,39.14,47.15,41.8,49.23,0.76,31.31,51.02,3,3,34.67,26.29
81.01,78.6,28.64,67.09,62.9,69.69,9.1,29.32,2,2,62.3,56.46
68.66,99.79,95.68,96.06,50.65,20.91,36.2,86.33,0,1,78.75,82.12
76.52,82.57,80.11,79.53,81.7,21.4,2.35,75.96,0,3,70.49,71.48
26.93,7.73,22.08,18.28,60.9,36.5,11.31,59.44,3,7,26.29,0.0
93.95,83.32,86.9,71.1,38.78,81.34,16.31,75.83,1,0,67.52,77.98
52.97,49.99,66.36,28.32,31.99,55.46,42.49,99.04,0,4,49.41,47.25
51.53,71.32,70.91,46.48,83.0,88.18,9.05,77.87,2,1,67.26,52.6
54.34,70.76,45.14,18.57,64.74,0.03,3.36,38.48,1,0,39.49,49.37
68.17,83.72,69.08,67.94,70.27,68.89,22.39,83.23,0,3,73.01,67.63
51.25,41.74,39.12,57.01,61.72,58.51,54.13,76.42,3,0,52.58,31.52
54.34,53.17,39.17,47.56,27.59,0.36,65.2,89.13,3,1,46.93,32.56
35.3,23.01,19.01,38.42,68.67,31.86,19.61,66.41,4,2,34.01,14.32
59.22,36.58,57.7,65.57,64.63,17.86,50.96,90.18,2,2,43.7,42.58
74.23,82.01,66.55,73.7,78.35,14.13,39.1,99.74,1,3,65.22,61.25
54.57,36.35,71.38,26.62,70.0,34.38,41.91,73.67,3,5,49.13,23.34
59.67,44.29,59.3,32.3,55.58,10.21,33.99,75.91,4,2,39.47,20.38
19.48,17.6,4.13,23.14,46.81,62.86,28.3,77.0,2,5,26.35,7.52
98.0,98.72,86.57,72.04,80.83,19.45,36.5,83.93,0,1,75.0,93.04
53.1,73.05,40.95,27.72,67.27,40.8,58.69,67.61,0,2,52.06,58.29
87.0,65.9,66.24,87.72,46.56,62.36,63.74,76.48,1,3,68.38,66.51
33.55,25.23,53.27,18.4,62.35,53.98,46.43,90.39,4,5,44.7,9.46
21.71,48.26,11.24,27.48,36.5,12.14,36.13,49.44,2,6,40.02,7.02
95.07,98.32,70.34,86.13,62.82,50.49,60.05,87.22,1,0,78.71,87.7
87.12,71.45,94.63,81.06,57.17,23.73,37.13,98.94,1,0,64.94,73.68
56.12,41.49,65.69,68.65,79.34,79.27,31.62,74.94,2,5,55.03,39.33
70.87,50.99,37.78,42.49,24.61,75.42,30.48,42.47,1,4,45.48,40.38
25.08,21.63,11.31,30.44,49.14,66.09,2.58,93.67,4,5,35.49,0.63
22.24,23.14,38.82,47.96,46.1,56.48,8.67,88.87,2,5,42.95,15.05
88.03,76.16,69.67,82.05,76.74,75.35,13.22,88.92,0,1,77.98,76.7
51.42,66.14,76.38,35.44,63.95,19.07,1.26,91.55,2,4,52.17,43.31
51.7,72.76,64.71,42.06,56.67,60.25,54.8,67.81,1,1,63.43,57.45
81.16,80.46,68.82,96.25,67.95,36.91,43.09,82.85,2,3,63.76,64.88
44.14,11.28,8.42,37.96,32.8,51.28,38.03,59.77,3,8,26.83,0.0
29.83,36.19,28.07,39.21,15.75,55.41,35.76,58.33,1,6,45.17,15.44
65.04,77.65,59.44,30.75,27.73,71.13,29.65,73.64,3,2,55.83,41.24
50.91,44.43,14.0,36.25,1.44,74.33,13.05,78.24,3,4,43.03,20.14
60.58,51.09,60.21,70.74,44.62,52.13,61.42,92.05,1,4,54.91,45.71
70.95,41.38,42.71,62.61,33.97,42.25,51.22,87.79,3,4,50.64,35.38
75.03,76.99,99.98,68.62,36.45,48.73,7.11,81.85,2,1,64.96,68.24
71.93,85.55,82.7,88.43,84.08,23.43,78.45,87.95,0,1,73.49,80.16
21.76,43.17,13.22,46.19,5.5,11.99,19.05,87.7,2,4,39.15,15.69
48.9,75.61,53.84,59.52,59.52,45.15,43.16,96.44,2,2,61.81,45.71
65.62,54.07,67.58,73.45,82.59,73.87,42.12,91.23,2,6,66.1,46.54
75.6,55.82,36.52,55.04,32.61,64.27,59.97,37.92,3,3,46.69,36.86
71.66,74.51,70.6,87.95,40.81,82.27,18.79,77.71,1,4,70.74,61.59
99.53,69.39,79.42,93.32,48.47,25.36,68.72,81.83,1,2,68.55,72.12
34.49,10.08,38.5,37.25,4.23,66.06,28.97,84.62,3,8,37.01,5.92
45.78,70.18,43.86,41.95,62.69,9.0,5.04,65.9,1,2,47.11,49.27
32.05,26.05,20.73,32.99,67.12,59.1,21.21,61.62,3,5,28.32,10.32
43.86,23.85,10.58,46.46,25.73,24.05,25.5,66.75,2,5,25.16,15.85
82.63,88.12,96.07,81.72,80.35,21.16,29.99,98.55,1,3,79.61,77.36
96.56,93.64,80.97,67.57,53.86,11.7,61.35,88.92,1,4,64.65,76.25
61.31,42.17,57.86,55.3,34.44,13.93,59.94,75.9,2,4,52.11,27.4
36.26,22.47,21.65,20.85,29.29,9.7,21.2,64.47,2,5,23.07,5.2
32.79,42.7,43.78,5.41,68.39,1.11,29.84,84.63,3,6,30.58,12.43
71.04,68.44,86.38,78.66,60.05,65.73,1.43,81.77,1,2,72.91,64.98
47.18,20.68,13.38,2.42,41.38,68.24,33.89,60.86,3,4,32.25,11.21
56.5,60.07,54.98,73.86,55.98,34.67,27.65,84.18,0,1,57.13,58.29
47.01,63.18,56.71,47.65,68.16,68.24,59.24,78.12,3,3,58.25,37.66
70.5,43.17,58.9,32.91,49.44,59.76,34.52,78.29,2,3,49.16,41.94
71.01,42.22,47.29,41.9,31.35,45.16,13.46,87.2,1,2,46.46,42.46
58.02,27.0,57.33,46.29,1.12,68.9,37.2,52.55,5,1,40.0,15.39
50.36,37.4,62.36,74.17,78.75,63.19,69.34,90.3,4,3,59.32,30.26
98.51,99.85,77.98,86.92,57.43,13.25,28.64,80.83,0,3,80.99,81.07
39.01,44.49,54.35,33.04,38.82,3.47,38.91,45.85,1,6,32.91,32.21
84.0,65.91,76.49,85.5,40.98,5.97,55.44,84.94,1,1,56.7,63.95
87.48,86.99,86.78,69.48,38.51,19.95,13.13,78.1,1,1,73.6,66.18
62.39,64.92,48.64,48.88,74.03,67.08,56.59,99.56,0,1,67.66,58.38
41.49,44.29,19.21,35.94,19.62,44.59,37.56,84.55,3,4,34.41,20.43
97.19,75.81,99.12,65.87,74.77,54.52,59.23,91.1,2,2,72.85,75.99
90.66,82.29,84.2,81.85,56.04,73.52,61.5,92.86,0,2,73.35,84.86
88.22,90.09,81.7,67.97,65.25,34.65,77.28,83.92,0,3,72.68,78.11
62.75,42.45,60.7,53.37,71.42,32.54,17.41,98.29,3,4,53.19,36.67
39.62,48.44,53.11,15.09,53.65,23.76,31.46,74.89,2,4,39.24,27.34
97.02,83.15,92.89,92.72,75.42,37.18,73.43,93.55,0,1,74.3,85.32
56.36,73.69,23.5,10.08,39.62,5.89,58.59,25.2,3,1,41.42,29.39
68.86,84.37,99.53,99.09,53.55,45.86,8.54,88.05,2,2,72.73,66.05
75.33,72.35,69.34,62.47,69.43,9.76,62.78,97.18,1,3,60.12,61.01
80.23,47.92,41.18,43.15,21.88,78.37,13.27,38.66,1,4,45.54,36.89
86.69,79.23,70.97,55.56,50.03,5.87,32.03,95.26,0,2,54.18,72.38
19.12,15.18,29.14,43.82,32.33,17.08,49.67,50.78,2,6,24.68,8.87
88.24,91.49,91.1,67.22,44.96,31.17,40.79,89.34,0,1,70.49,79.32
56.07,45.1,35.44,41.97,40.37,51.47,4.36,74.47,1,4,37.01,38.33
98.65,85.45,88.77,78.91,79.36,85.16,32.53,92.25,0,1,83.42,86.44
75.82,42.45,84.85,30.61,34.41,68.1,18.28,41.67,2,4,48.0,42.11
15.71,11.64,39.13,8.59,29.54,53.47,38.27,49.74,2,8,30.88,0.7
35.24,27.92,40.41,54.96,40.5,60.65,37.21,87.79,4,4,41.95,11.04
63.83,69.32,75.06,45.87,68.08,17.71,37.42,65.76,1,4,62.09,51.14
45.19,39.97,76.84,71.12,44.51,23.3,30.55,89.15,1,2,50.84,44.71
50.38,63.33,57.65,38.54,58.23,44.34,55.72,98.46,1,3,61.35,45.85
56.35,35.24,77.23,55.33,49.14,48.94,2.84,71.08,4,4,47.93,25.01
71.9,37.94,64.71,60.78,41.51,17.61,14.97,71.93,2,4,47.19,40.58
78.22,71.72,99.6,68.63,47.21,18.69,31.78,90.15,0,5,65.9,70.08
33.9,14.49,38.7,45.1,32.58,74.04,43.95,54.85,3,7,35.63,7.83
35.66,26.89,2.69,24.66,63.56,53.38,2.55,89.2,3,6,30.81,5.01
78.25,87.01,96.95,71.1,82.3,87.24,1.79,80.99,0,2,80.41,80.35
69.41,65.9,38.69,32.91,32.96,83.92,63.95,92.91,2,1,59.66,51.12
94.53,70.06,87.62,99.28,72.79,7.53,77.17,91.08,0,3,71.51,78.58
59.93,38.12,68.84,31.32,48.67,34.81,19.6,79.09,4,3,42.01,35.54
56.55,44.62,23.09,12.4,29.47,74.42,43.84,37.92,3,4,35.47,21.14
96.34,77.64,88.03,72.51,84.6,61.03,41.5,78.3,1,2,76.75,74.43
78.05,83.79,76.89,76.45,49.54,12.36,3.13,78.94,2,4,66.09,57.57
15.93,13.81,36.07,26.35,53.91,67.28,41.17,54.21,4,4,32.01,0.0
49.02,75.42,54.86,63.48,41.13,11.67,4.75,60.42,2,3,55.84,43.24
37.95,32.14,71.33,45.71,9.64,2.76,13.45,34.65,2,3,28.71,19.78
53.33,44.16,84.99,60.01,40.3,20.38,19.28,44.07,1,4,44.43,43.86
51.98,67.89,66.7,29.76,60.7,59.24,58.49,72.21,1,5,57.94,49.31
77.05,82.37,91.21,63.4,89.6,15.34,50.95,98.22,0,1,68.1,76.38
81.89,68.13,77.52,65.07,85.4,83.61,69.61,92.85,1,3,76.03,64.58
60.6,56.03,45.32,40.71,50.1,54.29,66.91,83.85,1,2,61.26,46.38
63.89,36.65,73.97,72.64,25.21,19.15,12.61,92.35,4,3,51.85,36.17
57.78,57.42,55.65,38.73,50.47,81.75,35.2,97.07,1,3,54.87,46.38
68.63,70.63,65.76,97.62,90.0,72.41,9.19,97.47,0,5,74.85,67.04
84.05,90.63,71.59,74.97,64.29,69.88,81.98,96.21,1,3,84.61,74.59
90.35,90.07,82.94,94.17,71.98,34.45,1.67,76.48,2,0,73.41,70.68
92.98,92.0,78.4,62.76,41.1,8.28,33.26,76.14,1,3,64.46,62.67
76.58,98.13,78.42,84.18,88.69,52.32,25.95,88.3,0,3,81.05,79.31
22.53,11.06,37.57,50.57,20.94,24.12,42.71,89.67,3,4,23.26,4.24
74.17,36.58,62.26,70.31,83.6,58.51,66.49,67.65,1,4,52.59,48.5
68.58,77.84,74.05,93.11,43.83,75.11,47.13,84.43,1,4,68.87,60.99
74.89,70.31,69.88,55.81,78.28,26.94,49.26,79.16,2,0,57.03,57.74
74.61,77.38,68.48,28.26,44.36,80.69,53.78,90.98,1,2,63.39,63.34
67.6,66.23,71.32,40.99,69.51,9.58,9.66,79.61,2,1,51.96,52.0
31.37,35.1,48.78,31.73,8.14,0.19,24.85,92.46,3,2,30.8,19.46
68.26,64.85,45.92,28.19,48.1,28.54,49.02,93.69,0,3,47.86,55.42
43.32,38.82,7.83,30.31,29.59,74.36,32.7,91.76,2,1,35.54,29.36
31.49,49.6,9.56,51.44,28.11,35.1,26.43,58.27,1,3,32.9,22.25
28.97,42.54,1.31,45.89,34.81,50.49,18.7,63.43,2,4,32.89,12.15
55.49,70.7,39.79,53.88,34.6,47.54,38.68,87.48,2,2,56.63,40.06
66.98,53.7,68.51,46.3,39.15,24.63,3.17,83.9,3,3,46.24,33.42
12.38,19.96,47.11,21.62,8.25,19.95,30.0,52.6,2,4,20.52,12.96
26.66,36.92,24.22,5.05,30.84,38.08,22.89,85.81,2,4,36.62,13.46
22.09,40.59,47.13,14.7,63.2,63.65,21.22,90.45,3,5,33.75,17.99
76.09,45.95,47.09,56.74,25.23,65.48,26.42,99.22,3,5,43.0,38.36
67.15,50.66,33.03,66.79,15.12,56.53,45.8,35.9,2,2,46.4,35.12
45.56,27.03,13.15,39.21,35.04,13.26,20.62,76.74,2,7,27.71,12.86
74.24,93.15,77.4,76.75,47.26,65.18,66.39,83.49,1,1,76.81,73.89
20.53,27.7,17.51,30.47,46.15,72.96,22.78,77.41,2,6,36.13,16.62
93.29,70.13,93.15,63.36,88.19,65.17,7.66,92.33,0,4,71.71,67.93
23.74,43.81,14.79,3.84,41.99,8.03,13.83,70.36,2,3,30.39,12.46
34.41,24.17,14.37,43.56,13.78,18.17,42.08,82.06,4,4,27.78,0.71
73.9,85.61,89.3,56.5,37.38,24.82,7.1,88.55,0,2,66.83,71.31
47.85,26.76,41.41,56.05,4.49,28.78,17.88,33.12,2,6,30.24,17.39
72.79,78.42,87.96,81.28,39.07,91.05,25.93,83.97,2,4,73.18,58.53
87.8,94.01,82.82,71.3,89.16,13.39,34.93,96.83,0,4,73.49,81.93
55.12,64.1,45.63,62.89,43.19,67.64,11.63,31.84,1,3,56.95,43.57
47.31,42.34,61.78,40.28,37.88,20.6,15.04,86.8,1,4,34.95,36.44
54.45,42.22,78.78,52.59,46.05,70.94,3.51,55.99,2,6,53.28,36.43
41.67,40.57,64.92,56.16,12.06,65.13,30.62,56.39,4,2,47.98,24.96
45.47,68.54,73.68,66.94,82.5,81.28,31.08,78.94,1,2,64.69,56.0
98.24,98.15,88.31,93.58,65.86,89.69,7.98,96.6,1,2,86.1,80.07
98.47,84.58,96.42,67.51,36.43,73.69,59.7,88.64,1,1,65.54,80.25
38.43,18.07,0.12,13.25,53.47,53.24,16.55,76.28,4,5,29.58,0.0
83.59,78.55,90.53,98.3,67.55,56.16,31.01,89.12,1,2,68.66,73.76
47.76,71.0,42.32,45.53,75.42,41.2,65.18,72.33,3,0,56.3,39.31
69.79,74.08,65.23,71.8,60.32,51.94,21.32,89.84,1,2,62.85,64.26
49.45,7.83,7.01,22.71,8.79,73.53,21.22,71.68,3,7,20.39,3.72
75.76,99.25,99.62,64.47,68.84,7.31,49.08,78.15,0,0,72.46,86.75
78.85,67.28,74.26,99.56,37.45,81.6,6.58,88.22,0,4,73.21,64.06
40.48,34.96,1.44,14.3,58.79,45.06,30.11,59.8,2,5,39.19,13.93
62.37,45.0,45.81,57.15,28.22,46.3,42.63,32.23,1,1,48.54,40.65
59.52,62.94,73.82,65.01,74.46,23.26,29.36,84.38,2,3,54.86,50.98
77.07,76.83,86.17,81.26,49.06,19.61,70.24,77.32,1,3,71.45,65.04
50.89,43.57,11.81,13.27,24.13,29.36,27.65,56.63,3,4,30.61,13.8
44.51,48.57,82.7,54.85,44.42,43.17,4.53,58.05,2,2,54.37,40.48
92.17,82.83,66.19,72.96,86.07,35.52,35.12,90.6,0,1,78.5,73.64
77.48,56.15,60.61,23.83,33.6,16.22,1.32,61.29,2,2,40.78,36.75
56.06,62.41,76.32,46.43,83.4,60.1,42.5,73.3,1,5,57.68,52.08
23.04,39.18,18.04,50.65,18.76,10.32,34.9,53.14,3,4,35.39,5.83
63.57,78.62,27.16,70.15,39.0,53.47,22.37,27.19,1,0,51.4,56.71
72.95,67.56,78.69,57.35,56.71,13.15,62.09,95.83,3,5,59.18,42.97
